;Masculin;Feminino
;819.92;570.79
;997.99;557.67
;590.94;455.24
;576.64;396.51
;688.55;463.37
;607.11;496.6
;967.39;602.3
;810.33;510.77
;539.9;445.98
;757.73;528.21
;991.18;660.87
;758.08;507.6
;970.8;534.07
;723.46;529.89
;585.87;407.92
;599.95;411.04
;572.57;439.06
;740.11;442.2
;659.72;546.5
;632.4;477.66
;592.61;424.46
;579.37;472.36
;1230.09;790.42
;656.84;416.56
;662.56;453.9
;764.31;489.64
;737.27;481.55
;713.4;427.22
;767.88;546.35
;601.08;488.41
;539.34;427.67
;561.26;425.52
;648.94;437.72
;1174.62;614.39
;651.84;460.65
;1787.56;1130.88
;621.96;496.13
;642.29;466.62
;614.24;426.7
;935.94;707.93
;638.97;489.2
;737.18;407.45
;735.11;512.74
;598.69;485.91
;598.97;451.08
;779.14;451.45
;825.51;744.02
;610.54;468.72
;907.1;534.27
;960.28;620.16
;494.16;387.7
;633.23;436.49
;653.8;608.63
;656.42;414.69
;618.05;495.05
;538.05;434.32
;654.32;385.76
;556.22;498.26
;438.79;376.01
;578.37;375.4
;664.79;408.79
;637.65;468.6
;840.46;555.59
;782.04;528.86
;518.05;382.48
;557.75;449.61
;630.28;428.93
;482.38;440.26
;590.64;467.15
;454.51;401.6
;564.03;484.25
;578.58;451.24
;632.78;423.99
;607.39;480.42
;568.42;457.56
;948.69;533.41
;611.82;379.22
;780.2;594.72
;1041.51;649.7
;551.59;415.79
;584.47;471.62
;695.92;490.23
;705.11;474.04
;643.11;524.81
;598.73;459.03
;735.24;462.43
;603.06;454.55
;1260.15;814.99
;1802.63;1341.18
;801.01;506.28
;731.06;482.11
;629.39;501.62
;629.44;521.06
;521.09;379.68
;670.67;448.47
;636.85;408.03
;773.51;541.2
;569.94;370.51
;572.26;448.68
;544.44;437.82
;695.06;510.33
;598.99;403.11
;993.89;742.47
;506.21;393.64
;544.22;482.98
;700.15;458.27
;657.71;463.14
;905.47;669.26
;573.75;487.43
;762.7;430.0
;601.52;502.28
;600.5;398.19
;622.81;429.05
;538.66;431.4
;589.1;472.55
;581.36;475.08
;533.7;394.54
;519.87;444.15
;685.95;451.09
;509.36;454.57
;802.35;549.62
;611.17;429.62
;706.81;542.47
;642.18;413.77
;581.82;440.0
;809.99;474.74
;603.31;452.83
;515.19;447.05
;745.04;409.42
;573.61;497.96
;836.21;569.32
;666.68;579.4
;809.06;530.99
;591.25;441.71
;743.89;611.25
;677.05;468.88
;556.25;467.83
;651.35;475.93
;656.44;491.33
;709.01;441.32
;601.13;417.0
;756.1;490.1
;500.73;397.67
;632.21;406.16
;618.83;442.0
;625.78;420.72
;576.55;436.59
;523.51;431.17
;527.18;456.23
;622.7;454.06
;519.65;376.97
;546.13;496.4
;563.24;418.64
;651.45;478.92
;632.45;414.86
;506.32;429.76
;1032.18;903.69
;633.16;521.98
;595.86;438.39
;625.84;438.96
;629.05;496.44
;571.2;389.84
;645.44;439.98
;546.3;390.67
;554.73;429.83
;554.66;429.67
;715.8;460.72
